id, dx, dy, ncycle, nex, nsim, narray, comments
1, 3, 3, 200, 2, 1000, 100, SqVertex

id, ncycle, nex, nsim, narray, comments
2, 10, 1, 100, 10, fourKagome
3, 10, 2, 100, 10, fourKagome
